id,precio,direccion,url
/propiedades/clasificado/alclphin-ph-en-alquiler-2-dorm.-1-bano-villa-urquiza-58186482.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=1,Consultar,$ 1.500.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-en-alquiler-2-dorm.-1-bano-villa-urquiza-58186482.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=1
/propiedades/clasificado/alclphin-ph-4-amb-con-patio-y-terraza-pequena-58197138.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=2,Consultar,$ 1.200.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-4-amb-con-patio-y-terraza-pequena-58197138.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=2
/propiedades/clasificado/alclphin-ph-2-amb-en-2-plantas-sin-expensas-abl-y-aysa-52438597.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=3,Consultar,$ 740.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-2-amb-en-2-plantas-sin-expensas-abl-y-aysa-52438597.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=3
/propiedades/clasificado/alclphin-impecable-ph-4-ambientes-sin-expensas-en-villa-urquiza-58166096.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=4,Consultar,USD 1.900,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-impecable-ph-4-ambientes-sin-expensas-en-villa-urquiza-58166096.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=4
/propiedades/clasificado/alclphin-ph-frente-solo-uso-profesiona-comercial-sin-57362149.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=5,Consultar,USD 2.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-frente-solo-uso-profesiona-comercial-sin-57362149.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=5
/propiedades/clasificado/alclphin-ph-en-alquiler-4-dorm.-2-banos-villa-urquiza-58021308.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=6,Consultar,$ 2.999.999,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-en-alquiler-4-dorm.-2-banos-villa-urquiza-58021308.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=6
/propiedades/clasificado/alclphin-alquiler-uso-comercial.-excelente-ph-en-muy-buen-57906326.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=7,Consultar,$ 1.600.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-uso-comercial.-excelente-ph-en-muy-buen-57906326.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=7
/propiedades/clasificado/alclphin-ph-sobre-av-olazabal-5290-uso-comercial-55135760.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=8,Consultar,$ 1.600.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-sobre-av-olazabal-5290-uso-comercial-55135760.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=8
/propiedades/clasificado/alclphin-ph-pb-con-jardin-8-66-m-de-frente-quincho-y-parrilla-58033870.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=9,Consultar,USD 2.200,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-pb-con-jardin-8-66-m-de-frente-quincho-y-parrilla-58033870.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=9
/propiedades/clasificado/alclphin-alquiler-ph-2-ambientes-sin-expensas-en-villa-urquiza-58066158.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=10,Consultar,$ 800.000,https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-ph-2-ambientes-sin-expensas-en-villa-urquiza-58066158.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=10
